Subject,Nonword,ARPA,TrialNum,TestOrControl,Naturalness,Type,Hwi_ConstraintWeight,Hwi_Score,Albright2009,Task,TaskOrder,SubjectResponse,LogResponse
9,kilp,K IH L P,61,control,natural,NatCon,4.538,0,0.00000943,line,1,570.3842,6.346310169
10,kilp,K IH L P,56,control,natural,NatCon,4.538,0,0.00000943,line,1,328.7448,5.795281766
11,kilp,K IH L P,17,control,natural,NatCon,4.538,0,0.00000943,line,1,133.5601,4.894551564
12,kilp,K IH L P,53,control,natural,NatCon,4.538,0,0.00000943,line,2,322.9892,5.777618886
13,kilp,K IH L P,66,control,natural,NatCon,4.538,0,0.00000943,line,2,240.3358,5.482037112
14,kilp,K IH L P,7,control,natural,NatCon,4.538,0,0.00000943,line,2,100.7407,4.612549889
15,kilp,K IH L P,47,control,natural,NatCon,4.538,0,0.00000943,line,2,110.25,4.702750514
16,kilp,K IH L P,52,control,natural,NatCon,4.538,0,0.00000943,line,2,436.2529,6.078222121
17,kilp,K IH L P,20,control,natural,NatCon,4.538,0,0.00000943,line,2,77.94566,4.356011917
18,kilp,K IH L P,49,control,natural,NatCon,4.538,0,0.00000943,line,2,407.6035,6.010294888
19,kilp,K IH L P,12,control,natural,NatCon,4.538,0,0.00000943,line,1,302.7897,5.713038505
20,kilp,K IH L P,45,control,natural,NatCon,4.538,0,0.00000943,line,2,78.13477,4.358435156
21,kilp,K IH L P,16,control,natural,NatCon,4.538,0,0.00000943,line,2,79.43701,4.374964381
22,kilp,K IH L P,67,control,natural,NatCon,4.538,0,0.00000943,line,2,173.2097,5.154502999
23,kilp,K IH L P,31,control,natural,NatCon,4.538,0,0.00000943,line,2,137.3931,4.92284616
24,kilp,K IH L P,43,control,natural,NatCon,4.538,0,0.00000943,line,2,334.0261,5.811219134
25,kilp,K IH L P,10,control,natural,NatCon,4.538,0,0.00000943,line,2,17.58032,2.866780095
26,kilp,K IH L P,37,control,natural,NatCon,4.538,0,0.00000943,line,1,237.0088,5.468097271
27,kilp,K IH L P,68,control,natural,NatCon,4.538,0,0.00000943,line,2,40.90017,3.71113422
28,kilp,K IH L P,8,control,natural,NatCon,4.538,0,0.00000943,line,2,304.7367,5.719448125
29,kilp,K IH L P,43,control,natural,NatCon,4.538,0,0.00000943,line,2,339.6397,5.82788535
1,plup,P L AH P,10,control,natural,NatCon,4.273,0,0.00000415,line,2,372.4677,5.920150323
2,plup,P L AH P,68,control,natural,NatCon,4.273,0,0.00000415,line,1,304.0995,5.71735495
3,plup,P L AH P,79,control,natural,NatCon,4.273,0,0.00000415,line,2,377.3746,5.933238328
4,plup,P L AH P,51,control,natural,NatCon,4.273,0,0.00000415,line,1,330.7705,5.801424781
5,plup,P L AH P,18,control,natural,NatCon,4.273,0,0.00000415,line,2,24.09155,3.181861157
6,plup,P L AH P,80,control,natural,NatCon,4.273,0,0.00000415,line,1,62.59253,4.136645942
